Cetáceo,Duración,mean,std,A max,A min,número,etiqueta
Humpback Whale,7.559773242630386,0.0035449108108878136,0.04786808788776398,0.19232238829135895,-0.16743136942386627,44,12
Humpback Whale,17.20027210884354,0.0035816298332065344,0.06825421750545502,0.27471399307250977,-0.40734386444091797,45,12
Humpback Whale,15.44984126984127,0.003497040830552578,0.07463586330413818,0.27418142557144165,-0.43654659390449524,46,12
Humpback Whale,1.6682086167800454,-0.004282175563275814,0.05583943799138069,0.19527101516723633,-0.22576746344566345,47,12
Humpback Whale,29.59269841269841,0.003511975286528468,0.017186466604471207,0.1348959505558014,-0.1381588578224182,48,12
Humpback Whale,5.084671201814059,0.003496539546176791,0.013880082406103611,0.12161038815975189,-0.13859333097934723,49,12
Humpback Whale,1.3322902494331066,0.0034316822420805693,0.012162958271801472,0.0756576731801033,-0.0642840713262558,50,12
Humpback Whale,4.0810884353741494,0.0035166277084499598,0.022734206169843674,0.13272880017757416,-0.11476274579763412,51,12
Humpback Whale,12.787120181405896,0.003454693127423525,0.029469411820173264,0.15240849554538727,-0.15823732316493988,52,12
Humpback Whale,15.841179138321996,0.0035098420921713114,0.016820287331938744,0.13705605268478394,-0.11227355152368546,53,12
Humpback Whale,2.4224943310657596,0.003466976573690772,0.02375275082886219,0.13725098967552185,-0.11236180365085602,54,12
Humpback Whale,4.453242630385487,0.0035055240150541067,0.017506182193756104,0.13095024228096008,-0.10219977051019669,55,12
Humpback Whale,2.694920634920635,0.003500781487673521,0.019671667367219925,0.11225771903991699,-0.09165839105844498,56,12
Humpback Whale,17.989750566893424,0.0035255067050457,0.005465810652822256,0.05508007854223251,-0.05567752942442894,57,12
Humpback Whale,5.705260770975057,0.0035271169617772102,0.005119024310261011,0.04393294081091881,-0.0495382696390152,58,12
Humpback Whale,13.70204081632653,0.003507662797346711,0.006794841028749943,0.07468510419130325,-0.07450553774833679,59,12
Humpback Whale,5.975873015873016,0.003497971687465906,0.008705955930054188,0.08581174165010452,-0.07881707698106766,60,12
Humpback Whale,8.37111111111111,0.0035006545949727297,0.00825600977987051,0.08704923093318939,-0.10049939155578613,61,12
Humpback Whale,5.498004535147392,0.0034922370687127113,0.008030315861105919,0.07230034470558167,-0.07152994722127914,62,12
Humpback Whale,67.0926530612245,0.0034830665681511164,0.01193983107805252,0.15443988144397736,-0.1699994057416916,63,12
Humpback Whale,3.1778684807256234,0.003500159364193678,0.008762296289205551,0.08802525699138641,-0.08938775211572647,64,12
Killer Whale,1.7,0.0009653447195887566,0.047840431332588196,0.3284265398979187,-0.3215246796607971,1,13
Killer Whale,1.2750113378684806,0.0009450059733353555,0.04681216552853584,0.31857725977897644,-0.320635050535202,2,13
Killer Whale,1.2750113378684806,0.0009661901858635247,0.04317304119467735,0.22715695202350616,-0.246908500790596,3,13
Killer Whale,1.7,0.0009321700199507177,0.021099107339978218,0.10457158833742142,-0.1206948384642601,4,13
Killer Whale,3.0,0.000958719989284873,0.012807230465114117,0.07213474810123444,-0.09525056183338165,5,13
Killer Whale,1.6,0.0009491598466411233,0.016241149976849556,0.08304936438798904,-0.09402743726968765,6,13
Killer Whale,1.8937414965986394,0.0009943711338564754,0.05945397913455963,0.2697770893573761,-0.25069040060043335,7,13
Killer Whale,1.8937414965986394,0.0009267468121834099,0.048995766788721085,0.19962331652641296,-0.19129924476146698,8,13
Killer Whale,1.4156462585034013,0.0008335528546012938,0.036753516644239426,0.10916884243488312,-0.1031012162566185,9,13
Killer Whale,1.4156462585034013,0.0008788115228526294,0.04534333944320679,0.11382118612527847,-0.09887223690748215,10,13
Killer Whale,14.249478458049886,0.0038340038154274225,0.012444224208593369,0.10860779136419296,-0.09704890102148056,11,13
Killer Whale,3.450657596371882,-0.007076676934957504,0.015299019403755665,0.04593285173177719,-0.061365921050310135,12,13
Killer Whale,3.477551020408163,-0.007161125540733337,0.014534193091094494,0.06102411821484566,-0.07560256123542786,13,13
Killer Whale,3.7222222222222223,-0.007336776237934828,0.027925170958042145,0.07398328930139542,-0.08787347376346588,14,13
Killer Whale,2.0946485260770977,-0.007229814771562815,0.017798587679862976,0.05416391044855118,-0.0702923908829689,15,13
Killer Whale,1.731201814058957,-0.007204676978290081,0.008435727097094059,0.04180791229009628,-0.057838425040245056,16,13
Killer Whale,3.413922902494331,-0.0021119434386491776,0.003956768196076155,0.03856140375137329,-0.03226760774850845,17,13
Killer Whale,1.697687074829932,-0.0021207055542618036,0.0022583298850804567,0.01882755756378174,-0.01677851192653179,18,13
Killer Whale,1.6773696145124717,-0.0022257238160818815,0.0027415098156780005,0.020320426672697067,-0.024973982945084572,19,13
Killer Whale,1.2239002267573695,-0.0021058458369225264,0.0031706395093351603,0.011599645018577576,-0.01720452681183815,20,13
Killer Whale,11.36766439909297,-0.0021674444433301687,0.004449291620403528,0.16118812561035156,-0.0777989849448204,21,13
Killer Whale,1.064126984126984,-0.00287194293923676,0.003176612313836813,0.016609426587820053,-0.016988085582852364,22,13
Killer Whale,5.098185941043084,-0.002168511739000678,0.0019124250393360853,0.015265592373907566,-0.04323297366499901,23,13
Killer Whale,2.3222222222222224,-0.0020594587549567223,0.004249293822795153,0.040044911205768585,-0.03243573009967804,24,13
Killer Whale,5.901768707482993,-0.002188496058806777,0.00213423790410161,0.019546329975128174,-0.03801975026726723,25,13
Killer Whale,2.735374149659864,-0.002190828789025545,0.0026593487709760666,0.05818716064095497,-0.048577409237623215,26,13
Killer Whale,1.0477097505668935,-0.0022009422536939383,0.0015728318830952048,0.007406185381114483,-0.02502610720694065,27,13
Killer Whale,1.283310657596372,-0.002616925397887826,0.004792685620486736,0.022690467536449432,-0.025009552016854286,28,13
Killer Whale,2.7593650793650792,-0.002157860202714801,0.0013969528954476118,0.00642387242987752,-0.014200402423739433,29,13
Killer Whale,3.2847619047619045,-0.002128881635144353,0.013883275911211967,0.14388605952262878,-0.13506591320037842,30,13
Killer Whale,2.6063038548752835,-0.0021804808638989925,0.004818189889192581,0.022034863010048866,-0.02816981077194214,31,13
Killer Whale,4.573877551020408,-0.00216651801019907,0.005952770821750164,0.046422600746154785,-0.04436378926038742,32,13
Killer Whale,3.059092970521542,-0.0021377333905547857,0.006168890278786421,0.06758736073970795,-0.05681266635656357,33,13
Killer Whale,2.177097505668934,-0.002242081332951784,0.015509300865232944,0.13375471532344818,-0.12302148342132568,34,13
Killer Whale,2.0305668934240364,-0.0020306699443608522,0.07421182096004486,0.5027809143066406,-0.4581766724586487,35,13
Leopard Seal,5.474240362811791,-0.01890420727431774,0.05377768725156784,0.1916181445121765,-0.24670124053955078,1,14
Leopard Seal,2.6058049886621317,-0.01876807026565075,0.06336254626512527,0.24293676018714905,-0.25618258118629456,2,14
Leopard Seal,5.171201814058957,-0.018304698169231415,0.04625081270933151,0.4231366217136383,-0.343705952167511,3,14
Leopard Seal,2.4016326530612244,-0.01701422408223152,0.08112121373414993,0.24433596432209015,-0.3064131736755371,4,14
Leopard Seal,7.236417233560091,-0.01694406196475029,0.046659816056489944,0.19546648859977722,-0.2290034294128418,5,14
Leopard Seal,3.5708390022675736,-0.016901468858122826,0.04822811484336853,0.18372289836406708,-0.20346307754516602,6,14
Leopard Seal,6.794013605442177,-0.016212468966841698,0.048324089497327805,0.22292132675647736,-0.28289732336997986,7,14
Leopard Seal,3.4020408163265308,-0.014615364372730255,0.042726099491119385,0.16649283468723297,-0.18834249675273895,8,14
Leopard Seal,2.34,-0.014452921226620674,0.04799673706293106,0.1521793007850647,-0.19531624019145966,9,14
Leopard Seal,7.272018140589569,-0.014380465261638165,0.052647948265075684,0.18662364780902863,-0.21422401070594788,10,14
Long-Finned Pilot Whale,4.574421768707483,-0.0023563867434859276,0.09036717563867569,0.34155887365341187,-0.38245728611946106,1,15
Long-Finned Pilot Whale,4.326530612244898,-0.0023444248363375664,0.06451024860143661,0.3972480297088623,-0.4237513244152069,2,15
Long-Finned Pilot Whale,3.665532879818594,-0.0023386734537780285,0.0566551499068737,0.3248353600502014,-0.32852137088775635,3,15
Long-Finned Pilot Whale,3.5002267573696146,-0.0023238419089466333,0.05906093120574951,0.3596304953098297,-0.3545253872871399,4,15
Long-Finned Pilot Whale,4.491746031746032,-0.002317300532013178,0.02546783909201622,0.19192823767662048,-0.18685652315616608,5,15
Long-Finned Pilot Whale,52.59587301587302,-5.751192293246277e-05,0.05371914431452751,0.38270843029022217,-0.3871287703514099,6,15
Long-Finned Pilot Whale,41.5669387755102,-6.940868479432538e-05,0.04877909645438194,0.3923383057117462,-0.4236987233161926,7,15
Long-Finned Pilot Whale,29.473378684807255,-7.748683128738776e-05,0.04722039774060249,0.30993106961250305,-0.286451518535614,8,15
Long-Finned Pilot Whale,52.144172335600906,-7.165365968830884e-05,0.042807016521692276,0.31390833854675293,-0.31031742691993713,9,15
Long-Finned Pilot Whale,20.56136054421769,-3.819196717813611e-05,0.023175477981567383,0.27118900418281555,-0.31334826350212097,10,15
Long-Finned Pilot Whale,69.98131519274376,-5.09858327859547e-05,0.02784585952758789,0.3011145293712616,-0.30839622020721436,11,15
Long-Finned Pilot Whale,42.44943310657597,-5.650948514812626e-05,0.023486873134970665,0.3128953278064728,-0.2596891522407532,12,15
Long-Finned Pilot Whale,0.2784580498866213,0.00012590590631589293,0.040235888212919235,0.305828720331192,-0.2873489260673523,13,15
Long-Finned Pilot Whale,2.1253968253968254,-0.00041273701936006546,0.022045524790883064,0.09935054928064346,-0.10670232027769089,14,15
Long-Finned Pilot Whale,0.7446258503401361,-0.0003529214591253549,0.013605769723653793,0.07968104630708694,-0.08479173481464386,15,15
Long-Finned Pilot Whale,1.9512925170068027,-0.0002863896079361439,0.015068520791828632,0.07925762981176376,-0.09495488554239273,16,15
Long-Finned Pilot Whale,1.9529705215419502,-0.0003543494385667145,0.015847202390432358,0.07408067584037781,-0.07815790176391602,17,15
Long-Finned Pilot Whale,1.6863038548752833,-0.0003144869115203619,0.013272971846163273,0.13777349889278412,-0.11368001997470856,18,15
Long-Finned Pilot Whale,1.5214965986394557,-0.00030377693474292755,0.014981910586357117,0.0668768510222435,-0.08437251299619675,19,15
Long-Finned Pilot Whale,1.3861678004535147,-0.00033010123297572136,0.018405713140964508,0.09765984863042831,-0.09081529080867767,20,15
Long-Finned Pilot Whale,0.8862131519274377,-0.00028544056112878025,0.011975106783211231,0.0490138866007328,-0.05469486117362976,21,15
Long-Finned Pilot Whale,2.2512018140589567,-0.00030797396902926266,0.0097816102206707,0.04315706342458725,-0.0457487590610981,22,15
Long-Finned Pilot Whale,1.0676643990929706,-0.00024127555661834776,0.01104867272078991,0.049217142164707184,-0.06271746754646301,23,15
Long-Finned Pilot Whale,2.2792290249433105,0.0004155025235377252,0.030182529240846634,0.12407631427049637,-0.11351494491100311,24,15
Long-Finned Pilot Whale,1.48,0.00044951162999495864,0.02193468250334263,0.10493987053632736,-0.10486383736133575,25,15
Long-Finned Pilot Whale,1.3838095238095238,0.00023705465719103813,0.01791955716907978,0.08546417951583862,-0.10336316376924515,26,15
Long-Finned Pilot Whale,1.7094331065759638,0.0001959259097930044,0.020238233730196953,0.09324193745851517,-0.11050209403038025,27,15
Long-Finned Pilot Whale,1.0465306122448979,0.0003448224160820246,0.02295715920627117,0.10973218828439713,-0.12592801451683044,28,15
